tachometer,und-accelerometer-axial,und-accelerometer-radial,und-accelerometer-tangential,over-accelerometer-axial,over-accelerometer-radial,over-accelerometer-tangential,microphone
4.5595,0.1752,0.28721,-0.017751,-0.41565,0.032459,-0.11218,-0.12814
4.6038,-0.051295,-0.19405,-0.060071,-0.41809,0.036547,-0.11043,0.11831
4.5703,-0.96908,0.038033,-0.028329,-0.43081,0.041924,-0.14331,-0.071527
4.587,0.89127,0.072973,0.0074526,-0.40017,0.04109,-0.11984,0.043445
4.5887,-1.716,-0.32929,-0.033063,-0.50281,0.040474,-0.2527,0.023901
4.5675,1.2403,0.35401,0.04046,-0.36806,0.044062,-0.14258,-0.05488
4.6052,-1.5955,-0.47204,-0.071376,-0.49493,0.045082,-0.27611,0.12137
4.5556,0.89214,0.42547,0.0094502,-0.3614,0.047495,-0.16086,-0.10988
4.6097,-0.79182,-0.40115,-0.09155,-0.45266,0.048458,-0.24753,0.11269
4.5583,-0.051937,0.23298,-0.027103,-0.38217,0.049433,-0.20108,-0.10407
4.5966,0.19039,-0.14388,-0.05264,-0.3818,0.046969,-0.18243,0.086498
4.5727,-1.2957,-0.10847,-0.035895,-0.41444,0.046045,-0.21344,-0.056535
4.5783,1.0556,0.15694,0.020054,-0.31527,0.040423,-0.10154,0.017014
4.5916,-1.744,-0.41731,-0.038561,-0.43002,0.040134,-0.21352,0.027747
4.5612,1.1804,0.34835,0.053164,-0.28124,0.038183,-0.051593,-0.056925
4.6023,-1.4705,-0.56199,-0.046975,-0.40843,0.041969,-0.15062,0.090831
4.5543,0.63229,0.31479,0.037505,-0.28759,0.046372,-0.03015,-0.10869
4.6021,-0.68779,-0.44965,-0.051015,-0.36011,0.046051,-0.097869,0.12507
4.5595,-0.73209,0.061166,-0.0076026,-0.31163,0.033909,-0.089931,-0.099735
4.5908,0.4235,-0.12429,-0.026897,-0.27664,0.029609,-0.073157,0.06973
4.5752,-1.3967,-0.25914,-0.045883,-0.33068,0.031182,-0.17527,-0.036603
4.5713,1.1763,0.1989,0.023092,-0.20652,0.02651,-0.072759,-0.016475
4.5912,-1.7268,-0.52025,-0.037951,-0.32523,0.026677,-0.20131,0.053715
4.5551,1.0819,0.359,0.063602,-0.1755,0.026555,-0.067082,-0.095476
4.6017,-1.2767,-0.5527,-0.04508,-0.29578,0.022544,-0.19014,0.14196
4.55,0.23087,0.30431,0.017607,-0.18626,0.023878,-0.10422,-0.12174
4.5984,-0.2359,-0.35206,-0.061767,-0.24051,0.022492,-0.14922,0.11578
4.5597,-0.65818,0.0022637,-0.05298,-0.22841,0.021722,-0.15804,-0.082966
4.5817,0.8109,0.0028933,-0.056873,-0.16819,0.018257,-0.086078,0.043542
4.5783,-1.6162,-0.33274,-0.11323,-0.25242,0.017185,-0.17807,0.00046401
4.5617,1.1788,0.29868,-0.031065,-0.10979,0.018982,-0.032738,-0.035313
4.5961,-1.7011,-0.54501,-0.10551,-0.23973,0.022281,-0.15077,0.072285
4.5487,0.85335,0.40167,0.019245,-0.086473,0.032228,0.012844,-0.093675
4.6009,-1.039,-0.51178,-0.059101,-0.1872,0.034917,-0.064815,0.12283
4.5503,0.10439,0.22518,0.033992,-0.10089,0.037715,0.0020235,-0.11434
4.5898,-0.004652,-0.29339,-0.0048793,-0.12781,0.034057,-0.019811,0.1002
4.5622,-1.1,-0.12407,-0.0017771,-0.14263,0.032497,-0.064539,-0.077442
4.5737,0.93317,0.064249,0.0066177,-0.058054,0.029731,0.010064,0.049213
4.5796,-1.7437,-0.413,-0.069417,-0.16221,0.02522,-0.12304,0.0083008
4.5561,1.2292,0.34951,-0.0049692,-0.01557,0.026946,-0.0036021,-0.046046
4.5928,-1.5675,-0.38854,-0.10763,-0.14587,-0.0018492,-0.13672,0.10054
4.5455,0.78914,0.3812,-0.013846,-0.03553,-0.0071116,-0.045653,-0.11188
4.5993,-0.72928,-0.26813,-0.08363,-0.089613,-0.0063158,-0.096328,0.15012
4.5491,-0.084567,0.22603,-0.018091,-0.067,-0.01127,-0.07509,-0.095257
4.5872,0.32475,-0.028501,-0.024977,-0.054682,-0.013061,-0.073748,0.080341
4.5661,-1.4194,-0.026118,-0.028573,-0.10796,-0.012778,-0.14055,-0.026429
4.5648,1.0126,0.24869,0.020292,-0.025229,-0.01342,-0.067243,-0.00031481
4.5856,-1.5867,-0.25223,-0.065723,-0.12771,-0.012477,-0.16173,0.1004
4.547,1.1926,0.40573,0.010484,-0.018299,-0.0094411,-0.047887,-0.10322
4.598,-1.4801,-0.29239,-0.097292,-0.11678,-0.010481,-0.13528,0.14503
4.5411,0.55364,0.36552,-0.023191,-0.039364,-0.005443,-0.064584,-0.13456
4.5946,-0.54461,-0.20055,-0.084241,-0.077102,-0.010898,-0.096848,0.1471
4.55,-0.6583,0.14117,-0.033814,-0.075561,-0.0085555,-0.097843,-0.095257
4.5783,0.62108,0.044103,-0.020532,-0.034702,-0.01023,-0.052839,0.081266
4.5682,-1.3665,-0.12479,-0.034412,-0.10851,-0.0087866,-0.11922,-0.006521
4.5574,1.278,0.29582,0.050435,-0.012936,-0.0098904,-0.034536,-0.020905
4.586,-1.6469,-0.31113,-0.025503,-0.12481,-0.011174,-0.15046,0.083919
4.5423,1.1003,0.37535,0.077167,-0.01837,-0.011398,-0.051066,-0.089075
4.5939,-1.252,-0.33357,-0.038946,-0.10521,-0.014684,-0.11984,0.12697
4.5402,0.0020718,0.29873,0.036407,-0.044836,-0.014652,-0.058548,-0.11672
4.5872,-0.11724,-0.14649,-0.039903,-0.059903,-0.012143,-0.068091,0.11378
4.5519,-0.65869,0.068059,-0.023512,-0.076775,0.010992,-0.087941,-0.075154
4.5695,0.83718,0.11224,-0.012805,-0.012936,0.006763,-0.031903,0.05408
4.5707,-1.6509,-0.22025,-0.065216,-0.096164,0.012128,-0.11739,0.013874
4.5496,1.2601,0.30651,0.029413,0.0093237,0.015497,-0.018096,-0.041032
4.5862,-1.7287,-0.36492,-0.060444,-0.097744,0.01671,-0.11374,0.11855
4.5378,0.84293,0.3609,0.06565,-0.002288,0.017756,-0.021654,-0.12405
4.5901,-0.88518,-0.31609,-0.017719,-0.070115,0.014984,-0.098203,0.1314
4.5398,-0.15919,0.2263,0.065509,-0.034798,0.017224,-0.075367,-0.1277
4.5797,0.12244,-0.087885,0.028545,-0.029474,0.017397,-0.066158,0.11217
4.554,-1.1077,-0.017638,0.034711,-0.071637,0.018116,-0.10415,-0.056097
4.5608,1.0197,0.18372,0.070134,0.0043078,0.018706,-0.028159,0.023415
4.5722,-1.7163,-0.25163,-0.01251,-0.092786,0.019008,-0.11974,0.034342
4.5427,1.2514,0.37351,0.070185,0.017564,0.018199,-0.0208,-0.056803
4.5848,-1.5021,-0.32259,-0.056385,-0.081739,0.011865,-0.11783,0.13488
4.5348,0.72586,0.38174,0.028378,-0.0016137,0.01551,-0.046378,-0.10966
4.5846,-0.59795,-0.21666,-0.072551,-0.051426,0.012449,-0.086149,0.11656
4.5405,-0.31539,0.19464,-0.02242,-0.037155,0.013315,-0.073087,-0.094405
4.5708,0.34813,0.00034293,-0.047026,-0.0085434,0.0085471,-0.053628,0.080901
4.5548,-1.5435,-0.10338,-0.072545,-0.064174,0.015889,-0.11015,-0.036578
4.5535,1.0735,0.24661,-0.018342,0.022477,0.016903,-0.013762,0.0041634
4.574,-2.0528,-0.28692,-0.11167,-0.072286,0.024636,-0.10234,0.12459
4.5367,1.1055,0.37518,-0.012105,0.045308,-0.00028337,0.011836,-0.098275
4.5868,-1.5063,-0.42712,-0.12883,-0.055902,-0.024092,-0.092693,0.2067
4.5315,0.51098,0.27482,-0.019825,0.036709,-0.014338,-0.026034,-0.12862
4.5816,-0.54988,-0.28209,-0.097324,-0.0036688,-0.01951,-0.076362,0.18957
4.5405,-0.71918,0.020514,-0.054464,0.0097604,-0.015673,-0.10755,-0.057825
4.5661,0.61912,0.010454,-0.044085,0.059707,-0.017193,-0.064128,0.092486
4.5607,-2.0638,-0.2575,-0.071555,-0.0075544,-0.017553,-0.15517,0.057244
4.5447,1.1272,0.2928,0.032476,0.10996,-0.017745,-0.047091,-0.047579
4.5788,-2.1199,-0.46596,-0.075351,-0.0026541,-0.022456,-0.17412,0.18475
4.5303,1.1068,0.40805,0.048656,0.13331,-0.02501,-0.052485,-0.15201
4.5865,-1.6665,-0.50818,-0.085532,0.033594,-0.026428,-0.14429,0.32112
4.5301,0.22555,0.27354,0.027588,0.13358,-0.027847,-0.074968,-0.1404
4.5759,-0.68648,-0.3146,-0.036718,0.10353,-0.027012,-0.10364,0.24808
4.5424,-1.726,-0.10545,-0.0060547,0.13479,-0.024567,-0.12277,-0.021683
4.5585,0.53134,0.092733,0.025816,0.20893,-0.026807,-0.031441,0.11252
4.5651,-2.6384,-0.47423,-0.071639,0.13864,-0.021352,-0.12896,0.18728
4.5368,1.2748,0.39121,0.051071,0.30546,-0.01865,0.043477,-0.09623
4.5813,-2.7736,-0.63237,-0.098801,0.1824,-0.018791,-0.085526,0.31766
4.5249,0.83061,0.41825,0.063351,0.35494,-0.017245,0.073518,-0.17925
4.5839,-1.8394,-0.55852,-0.062493,0.25528,-0.019388,-0.0084121,0.33903
4.5296,-0.77082,0.16796,0.035161,0.36112,-0.014569,0.062569,-0.10219
4.571,-0.28476,-0.2262,-0.0080522,0.36933,-0.0043071,0.095134,0.22554
4.548,-2.3328,-0.24266,-0.013165,0.35038,-0.0072271,0.03588,0.030838
4.549,0.89381,0.16799,0.05969,0.45355,-0.0092101,0.13767,0.025921
4.5683,-2.8077,-0.53075,-0.049152,0.35503,-0.011058,0.0059215,0.18387
4.5287,1.2033,0.39913,0.079029,0.49758,-0.0094989,0.12086,-0.12064
4.5823,-2.5316,-0.59734,-0.076578,0.38964,-0.0055714,-0.0092983,0.28826
4.5221,0.26868,0.34972,0.054064,0.50957,-0.00055932,0.067681,-0.1744
4.58,-1.195,-0.39557,-0.056873,0.45036,-0.00058499,0.0031344,0.31369
4.5307,-0.84887,0.066883,0.0057441,0.48928,0.0034131,0.014148,-0.056365
4.5629,0.31738,0.0031695,-0.0013532,0.53396,0.0023478,0.066062,0.1416
4.5511,-2.1387,-0.16505,-0.030654,0.47526,0.0039008,0.003828,0.092875
4.5401,1.1823,0.2702,0.056967,0.56942,0.0032077,0.10524,-0.036919
4.571,-2.4766,-0.41122,-0.048478,0.46211,0.0026366,-0.0028379,0.2371
4.5232,1.1865,0.39942,0.087636,0.59038,-0.00017427,0.12268,-0.13549
4.5809,-1.9705,-0.38008,-0.040751,0.4956,-0.00064917,0.039553,0.3271
4.5212,0.14741,0.31892,0.0633,0.56973,0.0011991,0.10098,-0.12517
