name	selling_price	year	seller_type	owner	km_driven	ex_showroom_price
Suzuki GSX S750	760000	2019	Individual	1	2800	752020
Harley-Davidson Street Bob	750000	2013	Individual	2	12000	1278000
Kawasaki Ninja 650 [2018-2019]	425000	2017	Individual	2	13600	599000
Yamaha YZF R3	365000	2019	Individual	1	1127	351680
Harley-Davidson Street 750	330000	2014	Individual	4	6500	534000
BMW G310GS	300000	2018	Individual	1	2500	349000
Kawasaki Ninja 650 [2018-2019]	300000	2011	Individual	1	12000	589000
Kawasaki Ninja 300	300000	2016	Individual	1	9800	360000
Royal Enfield Continental GT 650	299000	2019	Individual	1	1500	
Royal Enfield Interceptor 650	285000	2019	Individual	1	5500	
KTM RC 390	270000	2019	Individual	1	2380	
Royal Enfield Interceptor 650	270000	2019	Individual	1	9000	
Royal Enfield Interceptor 650	260000	2019	Individual	1	1200	
KTM RC 390	210000	2017	Individual	1	12000	
KTM 390 Duke	205000	2018	Individual	1	7500	
Bajaj Dominar 400	200000	2019	Individual	1	7600	
TVS Apache RR310	200000	2019	Individual	1	5000	
Honda CBR-250R	200000	2019	Individual	1	5500	202310
KTM 250 Duke	195000	2019	Individual	1	6000	
Royal Enfield Classic Signals	195000	2018	Individual	1	2845	164095
Royal Enfield Classic Gunmetal Grey	190000	2020	Individual	1	500	155740
Jawa 42	185000	2020	Individual	1	1700	
Royal Enfield Thunderbird 500X	185000	2018	Individual	1	1500	198605
Royal Enfield Classic Chrome	185000	2015	Individual	2	5000	189313
KTM RC 200	185000	2019	Individual	1	6000	
Royal Enfield Bullet 350 [2007-2011]	180000	2008	Individual	2	39000	
Jawa Standard	180000	2019	Individual	1	2000	
KTM RC 390	180000	2017	Individual	1	3775	
KTM 390 Duke ABS [2013-2016]	180000	2015	Individual	2	13125	202127
KTM RC 200	180000	2019	Individual	2	13800	
Royal Enfield Classic Gunmetal Grey	180000	2018	Individual	1	5814	148114
Royal Enfield Classic 350	175000	2019	Individual	1	350	
KTM 390 Duke	175000	2017	Individual	1	4600	
Royal Enfield Classic 350	175000	2020	Individual	1	500	
Royal Enfield Thunder 500	175000	2018	Individual	1	3000	190000
KTM 390 Duke	170000	2017	Individual	1	14000	
Royal Enfield Classic 350	170000	2018	Individual	1	5600	
Bajaj Dominar 400 [2018]	170000	2018	Individual	1	16000	163331
Yamaha YZF R15 V3	170000	2019	Individual	1	1400	146400
UM Renegade Mojave	170000	2019	Individual	1	1400	182000
Mahindra Mojo XT300	165000	2017	Individual	1	1933	195500
Royal Enfield Thunderbird 350X	165000	2019	Individual	1	3700	164004
KTM RC200	165000	2019	Individual	1	4000	178000
Royal Enfield Classic 350	162000	2018	Individual	1	17365	
Royal Enfield Thunderbird 350X	160000	2018	Individual	1	15000	
Royal Enfield Thunderbird 350X	160000	2019	Individual	1	6330	
UM Renegade Commando	160000	2018	Individual	1	7000	180525
Royal Enfield Thunderbird 350	160000	2018	Individual	1	19000	
Jawa Standard	160000	2019	Individual	1	5700	
Royal Enfield Classic 350	160000	2018	Individual	1	17365	
Royal Enfield Thunderbird 350X	160000	2018	Individual	1	3246	
Royal Enfield Classic Stealth Black	160000	2018	Individual	1	7500	204977
Benelli TNT 25	160000	2017	Individual	1	2009	170994
Royal Enfield Classic Gunmetal Grey	150000	2018	Individual	1	12000	148114
Royal Enfield Classic Gunmetal Grey	150000	2018	Individual	1	23000	148114
Yamaha FZ25	150000	2019	Individual	1	2500	133680
