ds,y
1,4.5595
2,4.6038
3,4.5703
4,4.587
5,4.5887
6,4.5675
7,4.6052
8,4.5556
9,4.6097
10,4.5583
11,4.5966
12,4.5727
13,4.5783
14,4.5916
15,4.5612
16,4.6023
17,4.5543
18,4.6021
19,4.5595
20,4.5908
21,4.5752
22,4.5713
23,4.5912
24,4.5551
25,4.6017
26,4.55
27,4.5984
28,4.5597
29,4.5817
30,4.5783
31,4.5617
32,4.5961
33,4.5487
34,4.6009
35,4.5503
36,4.5898
37,4.5622
38,4.5737
39,4.5796
40,4.5561
41,4.5928
42,4.5455
43,4.5993
44,4.5491
45,4.5872
46,4.5661
47,4.5648
48,4.5856
49,4.547
50,4.598
51,4.5411
52,4.5946
53,4.55
54,4.5783
55,4.5682
56,4.5574
57,4.586
58,4.5423
59,4.5939
60,4.5402
61,4.5872
62,4.5519
63,4.5695
64,4.5707
65,4.5496
66,4.5862
67,4.5378
68,4.5901
69,4.5398
70,4.5797
71,4.554
72,4.5608
73,4.5722
74,4.5427
75,4.5848
76,4.5348
77,4.5846
78,4.5405
79,4.5708
80,4.5548
81,4.5535
82,4.574
83,4.5367
84,4.5868
85,4.5315
86,4.5816
87,4.5405
88,4.5661
89,4.5607
90,4.5447
91,4.5788
92,4.5303
93,4.5865
94,4.5301
95,4.5759
96,4.5424
97,4.5585
98,4.5651
99,4.5368
100,4.5813
101,4.5249
102,4.5839
103,4.5296
104,4.571
105,4.548
106,4.549
107,4.5683
108,4.5287
109,4.5823
110,4.5221
111,4.58
112,4.5307
113,4.5629
114,4.5511
115,4.5401
116,4.571
117,4.5232
118,4.5809
119,4.5212
120,4.5719
121,4.5329
122,4.5521
123,4.5516
124,4.5317
125,4.5663
126,4.5194
127,4.5732
128,4.5197
129,4.5673
130,4.5371
131,4.5431
132,4.5545
133,4.5245
134,4.5675
135,4.5158
136,4.5689
137,4.5214
138,4.5552
139,4.538
140,4.5346
141,4.556
142,4.5181
143,4.5694
144,4.5115
145,4.5687
146,4.5228
147,4.551
148,4.5443
149,4.5275
150,4.5652
151,4.5113
152,4.5661
153,4.5114
154,4.5568
155,4.524
156,4.5384
157,4.5415
158,4.5206
159,4.5582
160,4.509
161,4.5594
162,4.5121
163,4.55
164,4.5274
165,4.529
166,4.5426
167,4.5139
168,4.5578
169,4.5061
170,4.556
171,4.5134
172,4.5392
173,4.5283
174,4.5215
175,4.5431
176,4.5085
177,4.5507
178,4.5059
179,4.5439
180,4.5144
181,4.5311
182,4.5305
183,4.5138
184,4.5428
185,4.5031
186,4.5521
187,4.5039
188,4.5427
189,4.5167
190,4.5257
191,4.536
192,4.5068
193,4.5488
194,4.4979
195,4.5502
196,4.5038
197,4.5357
198,4.5196
199,4.5165
200,4.5372
201,4.5007
202,4.5482
203,4.4959
204,4.5443
205,4.5049
206,4.5287
207,4.5229
208,4.5086
209,4.5385
210,4.4954
211,4.5458
212,4.4947
213,4.537
214,4.5064
215,4.5197
216,4.5238
217,4.5018
218,4.5373
219,4.492
220,4.5395
221,4.495
222,4.5285
223,4.5083
224,4.5105
225,4.5218
226,4.4965
227,4.5307
228,4.4901
229,4.5314
230,4.4958
231,4.5191
232,4.5086
233,4.5034
234,4.5241
235,4.4885
236,4.5307
237,4.4862
238,4.527
239,4.4962
240,4.5131
241,4.5117
242,4.4947
243,4.5242
244,4.4838
245,4.5286
246,4.4822
247,4.5252
248,4.4968
249,4.5042
250,4.5142
251,4.4891
252,4.5293
253,4.4783
254,4.5292
255,4.4859
256,4.5141
257,4.497
258,4.4994
259,4.517
260,4.481
261,4.5278
262,4.4768
263,4.5266
264,4.4826
265,4.5104
266,4.502
267,4.49
268,4.5195
269,4.4737
270,4.5271
271,4.4751
272,4.5195
273,4.4875
274,4.5021
275,4.5047
276,4.4825
277,4.5191
278,4.4727
279,4.5219
280,4.4737
281,4.5121
282,4.4882
283,4.4943
284,4.5062
285,4.4768
286,4.5195
287,4.4683
288,4.5176
289,4.4749
290,4.5043
291,4.4892
292,4.4861
293,4.5088
294,4.4706
295,4.5175
296,4.4659
297,4.5138
298,4.4745
299,4.498
300,4.4929
301,4.4781
302,4.51
303,4.4654
304,4.5151
305,4.4645
306,4.5076
307,4.4772
308,4.4909
309,4.496
310,4.4713
311,4.5097
312,4.4605
313,4.5135
314,4.4641
315,4.5007
